"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "JSON", "Diff", "TypeScript", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\backend\api\messages\[username].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 4, 10, 53
"c:\Users\codye\forge\backend\api\notifications.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 4, 11, 65
"c:\Users\codye\forge\backend\api\orders\checkout.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 99
"c:\Users\codye\forge\backend\api\orders\confirm.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 143
"c:\Users\codye\forge\backend\api\orders\download.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 91
"c:\Users\codye\forge\backend\api\orders\my-orders.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 86
"c:\Users\codye\forge\backend\api\orders\refund.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 119
"c:\Users\codye\forge\backend\api\ownership-transfer\[requestId].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 27, 41, 238
"c:\Users\codye\forge\backend\api\ownership-transfer\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 11, 19, 167
"c:\Users\codye\forge\backend\api\projects\[id]\comments.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\codye\forge\backend\api\projects\[id]\index.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 47, 33, 229
"c:\Users\codye\forge\backend\api\projects\[id]\like.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 55
"c:\Users\codye\forge\backend\api\projects\[id]\rename.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 7, 17, 102
"c:\Users\codye\forge\backend\api\projects\[id]\restore-version.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 7, 15, 83
"c:\Users\codye\forge\backend\api\projects\[id]\upload-version.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 12, 27, 173
"c:\Users\codye\forge\backend\api\projects\[id]\versions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 4, 8, 56
"c:\Users\codye\forge\backend\api\projects\estimate.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 156
"c:\Users\codye\forge\backend\api\projects\index.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 181
"c:\Users\codye\forge\backend\api\projects\move.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 8, 18, 116
"c:\Users\codye\forge\backend\api\projects\starred.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 49
"c:\Users\codye\forge\backend\api\quote\analyze.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 134
"c:\Users\codye\forge\backend\api\rename-move-history\[entityType]\[entityId].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"c:\Users\codye\forge\backend\api\stats.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\codye\forge\backend\api\storefront\[username].js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 141
"c:\Users\codye\forge\backend\api\thumbnails\[file].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 11, 17, 87
"c:\Users\codye\forge\backend\api\thumbnails\generate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 12, 16, 90
"c:\Users\codye\forge\backend\api\upload.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 137
"c:\Users\codye\forge\backend\api\users\[username]\follow.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 91
"c:\Users\codye\forge\backend\api\users\[username]\followers.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 119
"c:\Users\codye\forge\backend\api\users\[username]\following.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 120
"c:\Users\codye\forge\backend\api\users\[username]\index.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 128
"c:\Users\codye\forge\backend\api\users\banner\[file].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 9, 42
"c:\Users\codye\forge\backend\api\users\check-pending.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 37
"c:\Users\codye\forge\backend\api\users\follow-request.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 81
"c:\Users\codye\forge\backend\api\users\follow-requests.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\codye\forge\backend\api\users\follow.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 61
"c:\Users\codye\forge\backend\api\users\profile-picture\[file].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 8, 41
"c:\Users\codye\forge\backend\api\users\profile.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 20, 33, 220
"c:\Users\codye\forge\backend\api\users\search.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 7, 33
"c:\Users\codye\forge\backend\api\users\update-privacy.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 38
"c:\Users\codye\forge\backend\lib\activity-logger.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 34, 14, 129
"c:\Users\codye\forge\backend\lib\auth.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 41
"c:\Users\codye\forge\backend\lib\cad-formats.js", "JavaScript", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 54, 25, 330
"c:\Users\codye\forge\backend\lib\cad\annotation-styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 52, 62, 459
"c:\Users\codye\forge\backend\lib\cad\assembly-system.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 600, 0, 0, 135, 133, 868
"c:\Users\codye\forge\backend\lib\cad\bom-exporters.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 536, 0, 0, 58, 102, 696
"c:\Users\codye\forge\backend\lib\cad\bom-generator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 374, 0, 0, 75, 54, 503
"c:\Users\codye\forge\backend\lib\cad\constraint-solver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 630, 0, 0, 172, 141, 943
"c:\Users\codye\forge\backend\lib\cad\dimension-annotations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 373, 0, 0, 32, 63, 468
