"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Markdown", "XML", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/members/[memberId]/role.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 18, 33, 167
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/move-folder.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 11, 24, 156
"/Users/user/Documents/BlueprintCAD/backend/api/folders/[id]/rename.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 19, 106
"/Users/user/Documents/BlueprintCAD/backend/api/folders/index.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 3, 18, 111
"/Users/user/Documents/BlueprintCAD/backend/api/folders/move.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/user/Documents/BlueprintCAD/backend/api/folders/tree.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/user/Documents/BlueprintCAD/backend/api/forum/[id].ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 8, 25, 121
"/Users/user/Documents/BlueprintCAD/backend/api/forum/stats.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 65
"/Users/user/Documents/BlueprintCAD/backend/api/forum/threads.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 4, 17, 92
"/Users/user/Documents/BlueprintCAD/backend/api/invitations/[id].ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 12, 79
"/Users/user/Documents/BlueprintCAD/backend/api/invitations/index.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/user/Documents/BlueprintCAD/backend/api/issues/[id]/update.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 116
"/Users/user/Documents/BlueprintCAD/backend/api/issues/list.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 162
"/Users/user/Documents/BlueprintCAD/backend/api/issues/submit.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 135
"/Users/user/Documents/BlueprintCAD/backend/api/manufacturing-orders/create.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 121
"/Users/user/Documents/BlueprintCAD/backend/api/messages.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 9, 21, 129
"/Users/user/Documents/BlueprintCAD/backend/api/messages/[username].ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 10, 53
"/Users/user/Documents/BlueprintCAD/backend/api/notifications.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 11, 65
"/Users/user/Documents/BlueprintCAD/backend/api/orders/checkout.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 99
"/Users/user/Documents/BlueprintCAD/backend/api/orders/confirm.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 143
"/Users/user/Documents/BlueprintCAD/backend/api/orders/download.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 91
"/Users/user/Documents/BlueprintCAD/backend/api/orders/my-orders.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 86
"/Users/user/Documents/BlueprintCAD/backend/api/orders/refund.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 119
"/Users/user/Documents/BlueprintCAD/backend/api/ownership-transfer/[requestId].ts", "TypeScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 27, 41, 238
"/Users/user/Documents/BlueprintCAD/backend/api/ownership-transfer/index.ts", "TypeScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 11, 19, 167
"/Users/user/Documents/BlueprintCAD/backend/api/projects/[id]/comments.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
